价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
-13.214018225306587,-14.224706006929855,-14.082530762119493,-16.87197331981092,-16.31528185757773,-16.68547638376605,-15.378015352681954,-13.474786956298876,-13.016826302702173,0.0
33.52183091627682,16.269177436548162,15.358874940574722,-16.829791373264438,-16.214006045264235,-16.571903347817084,-15.102659292032762,-13.193365496470904,-12.814706084520465,1.0
-0.5300594094159123,-11.16620662336041,-10.806880030874972,-16.80240830093058,-16.149571943765974,-16.45477822066698,-14.844974811080538,-12.95344801048901,-12.870482932392981,0.0
-33.408474979232736,-7.692950568472959,-7.743037662433146,-16.822939362794372,-16.114679137086064,-16.29420005344548,-14.63017817724841,-12.831864166863644,-12.952673298166038,0.0
-1.8983810200798883,-5.106394647374266,-5.207764828066402,-16.831203332895264,-16.07657308072391,-16.117508508398313,-14.434009644042645,-12.931053456814306,-13.095498879199926,1.0
-7.013670721887323,0.6130605801681313,0.3736165366157493,-16.792971461838167,-16.033845070860707,-15.926698160300367,-14.214085728463562,-13.034304700460872,-13.176784737881697,0.0
16.522200264439658,1.514398387754902,1.2658016483537793,-16.77709572498312,-15.963069032147699,-15.716936411429673,-13.974951558016484,-13.068184104832234,-13.446819291718905,1.0
33.458779440796626,-2.478347059659072,-2.5008208946750443,-16.726212450004304,-15.899257667143212,-15.446759580392024,-13.739018388779373,-13.065699993652279,-13.386115395781596,1.0
6.890451560321139,-30.20672423319255,-28.899070715442924,-16.660716274320787,-15.821590741305265,-15.185734843155046,-13.532344207962835,-12.879090622910544,-12.928961117755215,1.0
-1.8248172717660296,47.76436389699728,46.97620291764332,-16.603192539290358,-15.719198396359166,-14.91654423562666,-13.308237345779007,-12.69605812677937,-12.418027974329586,1.0
8.37306229226369,23.31482942183909,21.78291986769445,-16.57472755744397,-15.609647283732107,-14.634120313885605,-13.104975554860088,-12.416080383926987,-11.773392215094196,1.0
-28.735143442887807,-6.9685969349003685,-6.775614446795821,-16.53597627952911,-15.522354300827374,-14.447622199410395,-12.962620655967006,-12.412350584482999,-11.495145441520568,0.0
-8.132669836453736,7.4634623412578724,6.9662675890170656,-16.512416012988723,-15.437173209756404,-14.279432764482555,-12.850521355864466,-12.427679174541021,-11.586876119438493,0.0
2.2181121143161846,-2.5690423602968053,-2.6081174995925025,-16.50791227442653,-15.275005157152163,-14.081843426562145,-12.710408909780767,-12.268353058844092,-11.724503520567758,1.0
-30.717253219799048,3.9096833512411986,3.5942593202146678,-16.511052486310405,-15.131873980175369,-13.938234996992712,-12.7423907250174,-12.233210534991231,-12.165304367584861,0.0
0.9126172982806936,8.209628813870992,7.75885987587388,-16.484756690512473,-14.966581299762225,-13.763495987985015,-12.753738526585323,-12.152589929155553,-12.647639591436025,1.0
7.171824672007112,-11.011966301227083,-10.832764573792575,-16.445370039557496,-14.798060561398305,-13.590632814802769,-12.752500559899971,-12.116176151823867,-12.85232554267634,1.0
